,,date_time,week,type,sales_rep,number_of_sales,gross_sales,number_of_estimates,estimates_processed
11134,11134,2022-02-01 14:30:00,6,Customer Invoice,"Lumbergh, Bill",1,317.2284465039916,0,0
11135,11135,2022-02-01 15:24:00,6,Estimate,"Lumbergh, Bill",0,0.0,1,1
11136,11136,2022-02-01 15:26:00,6,Estimate,"Bolton, Michael",0,3280.812897264852,1,0
11137,11137,2022-02-01 15:30:00,6,Estimate,"Garcia, Jerry",0,2960.852873589272,1,0
11138,11138,2022-02-01 15:33:00,6,Estimate,"Garcia, Jerry",0,167.53881959741508,1,0
11139,11139,2022-02-01 15:37:00,6,Estimate,"Garcia, Jerry",0,76.19663163720594,1,0
11140,11140,2022-02-01 15:40:00,6,Estimate,"Garcia, Jerry",0,497.52741999432044,1,0
11141,11141,2022-02-01 15:43:00,6,Estimate,"Garcia, Jerry",0,536.9420391733014,1,0
11142,11142,2022-02-01 15:44:00,6,Customer Invoice,"Lumbergh, Bill",1,0.0,0,0
11143,11143,2022-02-01 15:46:00,6,Estimate,"Lumbergh, Bill",0,0.0,1,0
11144,11144,2022-02-01 15:52:00,6,Estimate,"Portwood, Dom",0,0.0,1,1
11145,11145,2022-02-01 15:55:00,6,Customer Invoice,"Portwood, Dom",1,0.0,0,0
11146,11146,2022-02-01 16:12:00,6,Estimate,"Lumbergh, Bill",0,4497.256009556745,1,0
11147,11147,2022-02-01 16:36:00,6,Estimate,"Van Dyne, Joelle",0,636.5105038463239,1,0
11148,11148,2022-02-01 16:36:00,6,Estimate,"Bolton, Michael",0,2265.9478914304623,1,1
11149,11149,2022-02-01 17:23:00,6,Estimate,"Cyrus, Mylie",0,1438.3409848703589,1,1
11150,11150,2022-02-02 9:30:00,6,Estimate,"Van Dyne, Joelle",0,285.6699108943035,1,0
11151,11151,2022-02-02 9:43:00,6,Estimate,"Lumbergh, Bill",0,3388.182821670959,1,1
11152,11152,2022-02-02 9:49:00,6,Estimate,"Van Dyne, Joelle",0,2092.3527482414174,1,0
11153,11153,2022-02-02 10:11:00,6,Customer Invoice,"Van Dyne, Joelle",1,295.7092019113311,0,0
11154,11154,2022-02-02 10:16:00,6,Estimate,"Lumbergh, Bill",0,658.6011579359757,1,1
11155,11155,2022-02-02 10:17:00,6,Customer Invoice,"Lumbergh, Bill",1,703.9136807481104,0,0
11156,11156,2022-02-02 10:44:00,6,Customer Invoice,"Bolton, Michael",1,1713.0382715682254,0,0
11157,11157,2022-02-02 10:52:00,6,Estimate,"Garcia, Jerry",0,81.04292755162972,1,0
11158,11158,2022-02-02 10:53:00,6,Estimate,"Lumbergh, Bill",0,1509.8192442898962,1,0
11159,11159,2022-02-02 10:54:00,6,Estimate,"Garcia, Jerry",0,69.88791606977601,1,0
11160,11160,2022-02-02 10:56:00,6,Estimate,"Garcia, Jerry",0,1134.1756335569862,1,0
11161,11161,2022-02-02 11:00:00,6,Estimate,"Garcia, Jerry",0,723.5647872561109,1,0
11162,11162,2022-02-02 11:00:00,6,Estimate,"Van Dyne, Joelle",0,1243.475517330332,1,1
11163,11163,2022-02-02 11:01:00,6,Customer Invoice,"Van Dyne, Joelle",1,1293.323028576691,0,0
11164,11164,2022-02-02 11:36:00,6,Customer Invoice,"Bolton, Michael",1,2193.3618980288916,0,0
11165,11165,2022-02-02 11:42:00,6,Estimate,"Garcia, Jerry",0,581.5897598703455,1,0
11166,11166,2022-02-02 11:45:00,6,Estimate,"Garcia, Jerry",0,710.7448002356141,1,0
11167,11167,2022-02-02 11:48:00,6,Estimate,"Lumbergh, Bill",0,2196.508763348374,1,0
11168,11168,2022-02-02 12:29:00,6,Estimate,"Lumbergh, Bill",0,8254.341530572521,1,0
11169,11169,2022-02-02 12:48:00,6,Estimate,"Van Dyne, Joelle",0,9167.393472866774,1,1
11170,11170,2022-02-02 13:27:00,6,Estimate,"Lumbergh, Bill",0,1360.3500432758083,1,1
11171,11171,2022-02-02 13:28:00,6,Customer Invoice,"Lumbergh, Bill",1,1327.642957916399,0,0
11172,11172,2022-02-02 14:10:00,6,Estimate,"Lumbergh, Bill",0,4568.47419745158,1,0
11173,11173,2022-02-02 14:17:00,6,Estimate,"Lumbergh, Bill",0,2882.107108584308,1,1
11174,11174,2022-02-02 14:58:00,6,Estimate,"Garcia, Jerry",0,159.33075820265023,1,1
11175,11175,2022-02-02 15:33:00,6,Estimate,"Cyrus, Mylie",0,3010.6990269414687,1,1
11176,11176,2022-02-02 15:40:00,6,Customer Invoice,"Van Dyne, Joelle",1,508.40934594840087,0,0
11177,11177,2022-02-02 16:25:00,6,Estimate,"Cyrus, Mylie",0,9797.194834457097,1,1
11178,11178,2022-02-02 16:35:00,6,Estimate,"Van Dyne, Joelle",0,2279.4454498911077,1,0
11179,11179,2022-02-02 16:39:00,6,Estimate,"Lumbergh, Bill",0,627.7156049632732,1,1
11180,11180,2022-02-02 16:40:00,6,Customer Invoice,"Lumbergh, Bill",1,530.6216877088589,0,0
11181,11181,2022-02-02 16:40:00,6,Estimate,"Van Dyne, Joelle",0,1798.5216853726347,1,1
11182,11182,2022-02-03 7:14:00,6,Estimate,"Gompert, Katherine",0,277.80248294737027,1,1
11183,11183,2022-02-03 9:34:00,6,Customer Invoice,"Lumbergh, Bill",1,8092.591658465874,0,0
11184,11184,2022-02-03 10:19:00,6,Customer Invoice,"Lumbergh, Bill",1,612.1685366401139,0,0
11185,11185,2022-02-03 10:30:00,6,Estimate,"Lumbergh, Bill",0,1826.284792066289,1,1
11186,11186,2022-02-03 10:31:00,6,Customer Invoice,"Lumbergh, Bill",1,1707.9145405784247,0,0
11187,11187,2022-02-03 10:40:00,6,Estimate,"Lumbergh, Bill",0,631.3347015877922,1,1
11188,11188,2022-02-03 10:54:00,6,Customer Invoice,"Lumbergh, Bill",1,2965.040764727343,0,0
11189,11189,2022-02-03 11:02:00,6,Estimate,"Van Dyne, Joelle",0,1900.3838714817443,1,0
11190,11190,2022-02-03 11:32:00,6,Customer Invoice,"Lumbergh, Bill",1,611.7517553289108,0,0
11191,11191,2022-02-03 12:01:00,6,Customer Invoice,"Portwood, Dom",1,1313.450461909388,0,0
11192,11192,2022-02-03 13:01:00,6,Estimate,"Lumbergh, Bill",0,5912.754300794937,1,1
11193,11193,2022-02-03 13:27:00,6,Customer Invoice,"Lumbergh, Bill",1,5377.6653215828965,0,0
11194,11194,2022-02-03 13:45:00,6,Estimate,"Gompert, Katherine",0,702.430379536433,1,1
11195,11195,2022-02-03 14:07:00,6,Customer Invoice,"Gompert, Katherine",1,1475.040453281665,0,0
11196,11196,2022-02-03 14:13:00,6,Estimate,"Bolton, Michael",0,1087.4734724344341,1,1
11197,11197,2022-02-03 15:08:00,6,Estimate,"Van Dyne, Joelle",0,68.96403105275496,1,0
11198,11198,2022-02-03 16:51:00,6,Customer Invoice,"Gompert, Katherine",1,652.8392012394443,0,0
11199,11199,2022-02-03 17:35:00,6,Customer Invoice,"Bolton, Michael",1,1190.4034960013598,0,0
11200,11200,2022-02-04 9:26:00,6,Estimate,"Lumbergh, Bill",0,271.47340202836205,1,1
11201,11201,2022-02-04 9:33:00,6,Customer Invoice,"Lumbergh, Bill",1,316.0124298063646,0,0
11202,11202,2022-02-04 10:14:00,6,Estimate,"Cyrus, Mylie",0,1170.419184363829,1,0
11203,11203,2022-02-04 10:33:00,6,Customer Invoice,"Bolton, Michael",1,1152.988557837794,0,0
11204,11204,2022-02-04 10:46:00,6,Estimate,"Bolton, Michael",0,310.74167534475083,1,1
11205,11205,2022-02-04 11:54:00,6,Estimate,"Lumbergh, Bill",0,280.1934209033192,1,1
11206,11206,2022-02-04 11:57:00,6,Customer Invoice,"Lumbergh, Bill",1,311.4906738498814,0,0
11207,11207,2022-02-04 12:25:00,6,Estimate,"Bolton, Michael",0,2678.932838188475,1,1
11208,11208,2022-02-04 12:50:00,6,Estimate,"Bolton, Michael",0,2128.877487042113,1,1
11209,11209,2022-02-04 13:15:00,6,Estimate,"Cyrus, Mylie",0,929.4332353031774,1,1
11210,11210,2022-02-04 14:05:00,6,Estimate,"Bateman, Patrick",0,2483.7711143106535,1,1
11211,11211,2022-02-04 14:17:00,6,Estimate,"Bolton, Michael",0,423.38465723408933,1,0
11212,11212,2022-02-04 14:35:00,6,Customer Invoice,"Lumbergh, Bill",1,2424.0466793368532,0,0
11213,11213,2022-02-04 14:37:00,6,Estimate,"Bolton, Michael",0,171.39903146121975,1,1
11214,11214,2022-02-04 14:37:00,6,Customer Invoice,"Bolton, Michael",1,157.608394444929,0,0
11215,11215,2022-02-04 14:46:00,6,Customer Invoice,"Bateman, Patrick",1,2622.065586846138,0,0
11216,11216,2022-02-04 14:55:00,6,Estimate,"Lumbergh, Bill",0,5712.090445551995,1,0
11217,11217,2022-02-04 14:56:00,6,Estimate,"Bolton, Michael",0,6017.016427735312,1,0
11218,11218,2022-02-04 14:59:00,6,Estimate,"Bolton, Michael",0,1107.630254651462,1,0
11219,11219,2022-02-04 15:03:00,6,Estimate,"Garcia, Jerry",0,1428.0486722423047,1,0
11220,11220,2022-02-04 15:06:00,6,Estimate,"Garcia, Jerry",0,1744.3043902001375,1,0
11221,11221,2022-02-04 15:09:00,6,Estimate,"Garcia, Jerry",0,2131.8089615263248,1,0
11222,11222,2022-02-04 15:21:00,6,Estimate,"Garcia, Jerry",0,1056.0112257168983,1,0
11223,11223,2022-02-04 15:32:00,6,Estimate,"Garcia, Jerry",0,219.29359079867533,1,0
11224,11224,2022-02-04 15:34:00,6,Estimate,"Garcia, Jerry",0,318.82990346723943,1,0
11225,11225,2022-02-04 15:39:00,6,Estimate,"Garcia, Jerry",0,361.8747981510007,1,0
11226,11226,2022-02-04 15:42:00,6,Estimate,"Bolton, Michael",0,898.5221730947056,1,1
11227,11227,2022-02-04 15:46:00,6,Estimate,"Garcia, Jerry",0,468.3889153446396,1,0
11228,11228,2022-02-04 15:50:00,6,Estimate,"Garcia, Jerry",0,953.083810055546,1,0
11229,11229,2022-02-04 15:52:00,6,Estimate,"Garcia, Jerry",0,1186.2988221652063,1,0
11230,11230,2022-02-04 16:20:00,6,Customer Invoice,"Portwood, Dom",1,4162.525485054622,0,0
11231,11231,2022-02-04 16:23:00,6,Customer Invoice,"Gompert, Katherine",1,1662.2131112969168,0,0
11232,11232,2022-02-04 16:38:00,6,Customer Invoice,"Bolton, Michael",1,2035.8374128509656,0,0
11233,11233,2022-02-04 17:14:00,6,Estimate,"Quintana, Jesus",0,658.0548885672451,1,1
11234,11234,2022-02-05 12:15:00,6,Estimate,"Gompert, Katherine",0,611.6831448528477,1,1
11235,11235,2022-02-05 12:16:00,6,Customer Invoice,"Gompert, Katherine",1,665.7379183568552,0,0
11236,11236,2022-02-05 12:23:00,6,Estimate,"Gompert, Katherine",0,1641.4036010821999,1,0
11237,11237,2022-02-05 12:40:00,6,Estimate,"Bateman, Patrick",0,623.0138048122753,1,1
11238,11238,2022-02-05 12:41:00,6,Customer Invoice,"Bateman, Patrick",1,556.5818302919992,0,0
11239,11239,2022-02-05 12:56:00,6,Estimate,"Bateman, Patrick",0,1189.758260725602,1,0
11240,11240,2022-02-05 13:38:00,6,Estimate,"Garcia, Jerry",0,919.7420050031874,1,0
11241,11241,2022-02-05 13:40:00,6,Estimate,"Garcia, Jerry",0,287.1001923905968,1,0
11242,11242,2022-02-05 13:42:00,6,Estimate,"Garcia, Jerry",0,565.0369094982884,1,0
11243,11243,2022-02-05 13:45:00,6,Estimate,"Garcia, Jerry",0,261.3279450123361,1,0
11244,11244,2022-02-05 13:48:00,6,Estimate,"Garcia, Jerry",0,494.89739542288044,1,0
11245,11245,2022-02-05 14:16:00,6,Estimate,"Gompert, Katherine",0,418.7825501714912,1,1
11246,11246,2022-02-05 14:27:00,6,Estimate,"Bateman, Patrick",0,840.9443178253126,1,0
11247,11247,2022-02-05 14:31:00,6,Customer Invoice,"Van Dyne, Joelle",1,29.174916198474836,0,0
11248,11248,2022-02-05 14:44:00,6,Estimate,"Quintana, Jesus",0,2028.1744785136482,1,0
11249,11249,2022-02-05 14:45:00,6,Estimate,"Gompert, Katherine",0,14257.905698780318,1,0
11250,11250,2022-02-05 14:57:00,6,Estimate,"Cyrus, Mylie",0,382.32040542128084,1,1
11251,11251,2022-02-05 14:58:00,6,Customer Invoice,"Cyrus, Mylie",1,309.8777547557645,0,0
11252,11252,2022-02-05 15:20:00,6,Estimate,"Cyrus, Mylie",0,91.33603596257261,1,1
11253,11253,2022-02-05 15:22:00,6,Customer Invoice,"Cyrus, Mylie",1,75.57695383384083,0,0
11254,11254,2022-02-05 16:06:00,6,Estimate,"Cyrus, Mylie",0,2612.7014790380917,1,1
11255,11255,2022-02-05 16:33:00,6,Estimate,"Gompert, Katherine",0,3883.444738760968,1,0
11256,11256,2022-02-06 13:00:00,6,Customer Invoice,"Lumbergh, Bill",1,639.3805434847973,0,0
11257,11257,2022-02-06 13:14:00,6,Estimate,"Bolton, Michael",0,459.1719912624878,1,1
11258,11258,2022-02-06 13:15:00,6,Customer Invoice,"Bolton, Michael",1,469.816779279554,0,0
11259,11259,2022-02-06 13:20:00,6,Estimate,"Lumbergh, Bill",0,5128.604187503395,1,1
11260,11260,2022-02-06 13:22:00,6,Customer Invoice,"Lumbergh, Bill",1,4978.243302835111,0,0
11261,11261,2022-02-06 14:34:00,6,Customer Invoice,"Lumbergh, Bill",1,330.57194384968795,0,0
11262,11262,2022-02-06 15:59:00,6,Estimate,"Lumbergh, Bill",0,3258.2823798222853,1,1
11263,11263,2022-02-06 16:01:00,6,Customer Invoice,"Lumbergh, Bill",1,3237.4023758169465,0,0
11264,11264,2022-02-06 16:58:00,6,Customer Invoice,"Gompert, Katherine",1,292.22653174649497,0,0
11265,11265,2022-02-07 7:51:00,7,Estimate,"Gompert, Katherine",0,1924.5470929795972,1,1
11266,11266,2022-02-07 9:13:00,7,Customer Invoice,"Van Dyne, Joelle",1,1022.2033461767763,0,0
11267,11267,2022-02-07 9:20:00,7,Customer Invoice,"Van Dyne, Joelle",1,814.3917972948711,0,0
11268,11268,2022-02-07 9:50:00,7,Customer Invoice,"Cyrus, Mylie",1,1418.3920649635409,0,0
11269,11269,2022-02-07 9:56:00,7,Estimate,"Lumbergh, Bill",0,408.1476993362874,1,1
11270,11270,2022-02-07 10:06:00,7,Estimate,"Bolton, Michael",0,2605.1066427165233,1,1
11271,11271,2022-02-07 10:20:00,7,Customer Invoice,"Lumbergh, Bill",1,502.53234031958175,0,0
11272,11272,2022-02-07 10:21:00,7,Estimate,"Bolton, Michael",0,273.3661355525869,1,1
11273,11273,2022-02-07 10:24:00,7,Estimate,"Gompert, Katherine",0,471.6157342483798,1,1
11274,11274,2022-02-07 10:27:00,7,Estimate,"Bolton, Michael",0,418.6780386586723,1,0
11275,11275,2022-02-07 10:29:00,7,Customer Invoice,"Bolton, Michael",1,286.21596203809474,0,0
11276,11276,2022-02-07 11:18:00,7,Estimate,"Van Dyne, Joelle",0,500.9808797307476,1,1
11277,11277,2022-02-07 11:19:00,7,Customer Invoice,"Van Dyne, Joelle",1,460.259059966574,0,0
11278,11278,2022-02-07 11:33:00,7,Customer Invoice,"Garcia, Jerry",1,167.95872440106007,0,0
11279,11279,2022-02-07 11:36:00,7,Customer Invoice,"Bolton, Michael",1,3219.351027773736,0,0
11280,11280,2022-02-07 11:42:00,7,Customer Invoice,"Gompert, Katherine",1,453.4875735979911,0,0
11281,11281,2022-02-07 11:55:00,7,Customer Invoice,"Bolton, Michael",1,339.5305620794982,0,0
11282,11282,2022-02-07 12:13:00,7,Estimate,"Garcia, Jerry",0,1941.1334716328115,1,0
11283,11283,2022-02-07 12:15:00,7,Estimate,"Garcia, Jerry",0,604.4167344154758,1,0
11284,11284,2022-02-07 12:17:00,7,Estimate,"Garcia, Jerry",0,1551.0691532011242,1,0
11285,11285,2022-02-07 12:19:00,7,Estimate,"Garcia, Jerry",0,528.7362655005303,1,0
11286,11286,2022-02-07 12:21:00,7,Estimate,"Garcia, Jerry",0,830.1805330394767,1,0
11287,11287,2022-02-07 12:23:00,7,Estimate,"Garcia, Jerry",0,1915.5481059432313,1,0
11288,11288,2022-02-07 12:26:00,7,Estimate,"Garcia, Jerry",0,81.39202279152245,1,0
11289,11289,2022-02-07 12:28:00,7,Estimate,"Garcia, Jerry",0,842.9416084448535,1,0
11290,11290,2022-02-07 12:31:00,7,Estimate,"Bolton, Michael",0,1396.2148336798925,1,1
11291,11291,2022-02-07 12:34:00,7,Estimate,"Garcia, Jerry",0,196.0857126926898,1,0
11292,11292,2022-02-07 13:03:00,7,Customer Invoice,"Bolton, Michael",1,1290.4078573360443,0,0
11293,11293,2022-02-07 13:12:00,7,Estimate,"Cyrus, Mylie",0,1230.4712029664886,1,1
11294,11294,2022-02-07 14:05:00,7,Customer Invoice,"Lumbergh, Bill",1,15178.488831521525,0,0
11295,11295,2022-02-07 14:25:00,7,Customer Invoice,"Lumbergh, Bill",1,921.1088059590203,0,0
11296,11296,2022-02-07 14:34:00,7,Customer Invoice,"Lumbergh, Bill",1,439.0198270979936,0,0
11297,11297,2022-02-07 14:53:00,7,Customer Invoice,"Cyrus, Mylie",1,2784.998628611358,0,0
11298,11298,2022-02-07 15:36:00,7,Customer Invoice,"Gompert, Katherine",1,478.6426239462748,0,0
11299,11299,2022-02-07 16:12:00,7,Estimate,"Bolton, Michael",0,517.6437180006125,1,1
11300,11300,2022-02-07 16:13:00,7,Customer Invoice,"Bolton, Michael",1,557.7281836712641,0,0
11301,11301,2022-02-07 16:13:00,7,Customer Invoice,"Van Dyne, Joelle",1,436.195570829581,0,0
11302,11302,2022-02-07 16:19:00,7,Estimate,"Van Dyne, Joelle",0,141.26735964065472,1,1
11303,11303,2022-02-07 16:31:00,7,Estimate,"Portwood, Dom",0,3477.4624083697986,1,1
11304,11304,2022-02-07 16:40:00,7,Estimate,"Lumbergh, Bill",0,8602.819270075104,1,0
11305,11305,2022-02-07 16:56:00,7,Customer Invoice,"Cyrus, Mylie",1,1026.8024324594373,0,0
11306,11306,2022-02-08 8:46:00,7,Estimate,"Cyrus, Mylie",0,0.0,1,1
11307,11307,2022-02-08 9:11:00,7,Estimate,"Lumbergh, Bill",0,7348.457762256599,1,1
11308,11308,2022-02-08 9:17:00,7,Estimate,"Van Dyne, Joelle",0,273.89534674861267,1,1
11309,11309,2022-02-08 9:18:00,7,Customer Invoice,"Van Dyne, Joelle",1,313.98525338557897,0,0
11310,11310,2022-02-08 9:44:00,7,Estimate,"Lumbergh, Bill",0,73.48848003946112,1,1
11311,11311,2022-02-08 10:11:00,7,Estimate,"Garcia, Jerry",0,823.9573847110653,1,0
11312,11312,2022-02-08 10:13:00,7,Estimate,"Quintana, Jesus",0,971.0999140121064,1,1
11313,11313,2022-02-08 10:42:00,7,Customer Invoice,"Gompert, Katherine",1,7667.181829447965,0,0
11314,11314,2022-02-08 10:49:00,7,Estimate,"Bolton, Michael",0,601.1872587817749,1,1
11315,11315,2022-02-08 10:50:00,7,Customer Invoice,"Bolton, Michael",1,520.9202911025912,0,0
11316,11316,2022-02-08 10:53:00,7,Customer Invoice,"Lumbergh, Bill",1,93.78535723030065,0,0
11317,11317,2022-02-08 10:53:00,7,Estimate,"Bolton, Michael",0,1143.3605146212103,1,0
11318,11318,2022-02-08 11:06:00,7,Estimate,"Lumbergh, Bill",0,1468.3263989071652,1,0
11319,11319,2022-02-08 11:18:00,7,Estimate,"Bolton, Michael",0,2761.4018623684087,1,0
11320,11320,2022-02-08 11:55:00,7,Estimate,"Garcia, Jerry",0,426.17516963439664,1,0
11321,11321,2022-02-08 11:57:00,7,Estimate,"Garcia, Jerry",0,1071.4435525143522,1,0
11322,11322,2022-02-08 13:42:00,7,Estimate,"Lumbergh, Bill",0,832.179757003654,1,1
11323,11323,2022-02-08 13:58:00,7,Estimate,"Lumbergh, Bill",0,1995.4031642771945,1,1
11324,11324,2022-02-08 14:01:00,7,Customer Invoice,"Portwood, Dom",1,13253.72605598207,0,0
11325,11325,2022-02-08 14:17:00,7,Estimate,"Lumbergh, Bill",0,15568.242741220114,1,0
11326,11326,2022-02-08 14:31:00,7,Estimate,"Garcia, Jerry",0,395.1538343848629,1,1
11327,11327,2022-02-08 14:38:00,7,Customer Invoice,"Lumbergh, Bill",1,1943.9420986753248,0,0
11328,11328,2022-02-08 14:48:00,7,Customer Invoice,"Garcia, Jerry",1,366.24280557620887,0,0
11329,11329,2022-02-08 14:54:00,7,Estimate,"Bolton, Michael",0,322.55654557934224,1,1
11330,11330,2022-02-08 14:55:00,7,Customer Invoice,"Bolton, Michael",1,271.42957542601897,0,0
11331,11331,2022-02-08 15:22:00,7,Estimate,"Gompert, Katherine",0,9580.72025487457,1,0
11332,11332,2022-02-08 15:40:00,7,Estimate,"Garcia, Jerry",0,304.93953338623817,1,0
11333,11333,2022-02-08 15:43:00,7,Estimate,"Garcia, Jerry",0,447.7205595490593,1,0
11334,11334,2022-02-08 15:57:00,7,Estimate,"Gompert, Katherine",0,272.14880636342133,1,1
11335,11335,2022-02-08 15:58:00,7,Estimate,"Van Dyne, Joelle",0,4389.829768170028,1,1
11336,11336,2022-02-08 15:58:00,7,Estimate,"Garcia, Jerry",0,533.3281149340085,1,0
11337,11337,2022-02-08 16:06:00,7,Estimate,"Gompert, Katherine",0,4026.369634898394,1,1
11338,11338,2022-02-08 16:30:00,7,Estimate,"Quintana, Jesus",0,671.8230464767759,1,1
11339,11339,2022-02-08 16:54:00,7,Estimate,"Cyrus, Mylie",0,161.18874641675248,1,1
11340,11340,2022-02-08 16:55:00,7,Customer Invoice,"Cyrus, Mylie",1,160.72738390241284,0,0
11341,11341,2022-02-08 17:17:00,7,Estimate,"Van Dyne, Joelle",0,3442.975800468021,1,0
11342,11342,2022-02-08 17:25:00,7,Estimate,"Van Dyne, Joelle",0,3895.7659030611617,1,0
11343,11343,2022-02-08 19:53:00,7,Estimate,"Gompert, Katherine",0,1542.0484091027984,1,1
11344,11344,2022-02-09 7:33:00,7,Estimate,"Garcia, Jerry",0,503.41608933771977,1,1
11345,11345,2022-02-09 9:14:00,7,Customer Invoice,"Cyrus, Mylie",1,1204.5949571013502,0,0
11346,11346,2022-02-09 10:11:00,7,Customer Invoice,"Van Dyne, Joelle",1,10720.336918525423,0,0
11347,11347,2022-02-09 10:35:00,7,Customer Invoice,"Quintana, Jesus",1,744.2139634458164,0,0
11348,11348,2022-02-09 10:38:00,7,Estimate,"Garcia, Jerry",0,133.0953529582243,1,1
11349,11349,2022-02-09 11:34:00,7,Customer Invoice,"Gompert, Katherine",1,7.29127216315405,0,0
11350,11350,2022-02-09 11:57:00,7,Estimate,"Garcia, Jerry",0,978.6135078940246,1,0
11351,11351,2022-02-09 11:58:00,7,Estimate,"Gompert, Katherine",0,141.3463455791001,1,1
11352,11352,2022-02-09 12:00:00,7,Cash Sale,"Gompert, Katherine",1,154.79585469362016,0,0
11353,11353,2022-02-09 12:00:00,7,Estimate,"Garcia, Jerry",0,1076.735851008009,1,0
11354,11354,2022-02-09 12:31:00,7,Estimate,"Bolton, Michael",0,786.661565287047,1,1
11355,11355,2022-02-09 12:32:00,7,Customer Invoice,"Bolton, Michael",1,894.1619391318079,0,0
11356,11356,2022-02-09 13:11:00,7,Customer Invoice,"Garcia, Jerry",1,506.61694209676637,0,0
11357,11357,2022-02-09 13:16:00,7,Customer Invoice,"Gompert, Katherine",1,1269.432280664598,0,0
11358,11358,2022-02-09 14:01:00,7,Estimate,"Van Dyne, Joelle",0,4842.612646994061,1,1
11359,11359,2022-02-09 14:25:00,7,Estimate,"Van Dyne, Joelle",0,526.0667166298504,1,1
11360,11360,2022-02-09 15:01:00,7,Estimate,"Gompert, Katherine",0,7678.033978106789,1,0
11361,11361,2022-02-09 15:21:00,7,Estimate,"Bolton, Michael",0,789.7055533917307,1,0
11362,11362,2022-02-09 15:34:00,7,Estimate,"Gompert, Katherine",0,3086.12970932396,1,0
11363,11363,2022-02-09 16:02:00,7,Customer Invoice,"Portwood, Dom",1,1252.9158780051503,0,0
11364,11364,2022-02-09 16:45:00,7,Customer Invoice,"Quintana, Jesus",1,1005.278396032179,0,0
11365,11365,2022-02-09 17:33:00,7,Customer Invoice,"Bateman, Patrick",1,24637.464237740576,0,0
11366,11366,2022-02-10 8:12:00,7,Estimate,"Lumbergh, Bill",0,11112.763440838931,1,0
11367,11367,2022-02-10 8:31:00,7,Estimate,"Garcia, Jerry",0,423.80977225526243,1,0
11368,11368,2022-02-10 8:34:00,7,Estimate,"Garcia, Jerry",0,333.5171736523035,1,0
11369,11369,2022-02-10 9:03:00,7,Estimate,"Lumbergh, Bill",0,9125.638085916844,1,0
11370,11370,2022-02-10 9:09:00,7,Estimate,"Lumbergh, Bill",0,624.0896840212449,1,1
11371,11371,2022-02-10 9:25:00,7,Estimate,"Bateman, Patrick",0,123.2368081410569,1,1
11372,11372,2022-02-10 11:51:00,7,Estimate,"Garcia, Jerry",0,1264.80792609027,1,0
11373,11373,2022-02-10 12:02:00,7,Customer Invoice,"Van Dyne, Joelle",1,4784.909489654175,0,0
11374,11374,2022-02-10 13:22:00,7,Estimate,"Quintana, Jesus",0,909.1874800438051,1,1
11375,11375,2022-02-10 13:22:00,7,Customer Invoice,"Quintana, Jesus",1,1072.272691819021,0,0
11376,11376,2022-02-10 13:23:00,7,Estimate,"Gompert, Katherine",0,280.49311670978824,1,1
11377,11377,2022-02-10 13:25:00,7,Customer Invoice,"Gompert, Katherine",1,263.6709265814153,0,0
11378,11378,2022-02-10 13:38:00,7,Estimate,"Gompert, Katherine",0,3307.6029928608186,1,0
11379,11379,2022-02-10 13:45:00,7,Estimate,"Garcia, Jerry",0,1989.5615085013483,1,0
11380,11380,2022-02-10 14:22:00,7,Estimate,"Van Dyne, Joelle",0,4922.511367751025,1,0
11381,11381,2022-02-10 14:23:00,7,Estimate,"Gompert, Katherine",0,1576.351552474102,1,0
11382,11382,2022-02-10 15:09:00,7,Estimate,"Bolton, Michael",0,1357.558996100013,1,1
11383,11383,2022-02-10 15:15:00,7,Customer Invoice,"Bolton, Michael",1,1511.4248047148737,0,0
11384,11384,2022-02-10 15:54:00,7,Estimate,"Quintana, Jesus",0,20199.362641200558,1,0
11385,11385,2022-02-10 16:03:00,7,Estimate,"Gompert, Katherine",0,729.0053830145038,1,1
11386,11386,2022-02-10 16:08:00,7,Customer Invoice,"Gompert, Katherine",1,908.2357778801398,0,0
11387,11387,2022-02-10 16:12:00,7,Estimate,"Bolton, Michael",0,351.3548840440676,1,1
11388,11388,2022-02-10 16:13:00,7,Customer Invoice,"Bolton, Michael",1,279.2635610582699,0,0
11389,11389,2022-02-10 16:22:00,7,Estimate,"Gompert, Katherine",0,834.1138738776526,1,1
11390,11390,2022-02-10 17:28:00,7,Estimate,"Quintana, Jesus",0,300.7404333027647,1,1
11391,11391,2022-02-10 19:25:00,7,Estimate,"Gompert, Katherine",0,12932.972316861733,1,0
11392,11392,2022-02-11 8:44:00,7,Estimate,"Lumbergh, Bill",0,3344.893070585723,1,0
11393,11393,2022-02-11 8:55:00,7,Estimate,"Garcia, Jerry",0,367.5687847760224,1,0
11394,11394,2022-02-11 8:58:00,7,Estimate,"Garcia, Jerry",0,456.8500880123247,1,0
11395,11395,2022-02-11 9:09:00,7,Estimate,"Gompert, Katherine",0,3383.7132473593997,1,1
11396,11396,2022-02-11 9:55:00,7,Estimate,"Bolton, Michael",0,1862.94332494409,1,1
11397,11397,2022-02-11 10:08:00,7,Customer Invoice,"Portwood, Dom",1,3702.541179541586,0,0
11398,11398,2022-02-11 10:18:00,7,Customer Invoice,"Quintana, Jesus",1,349.2144443772571,0,0
11399,11399,2022-02-11 10:24:00,7,Customer Invoice,"Bolton, Michael",1,1921.102568110506,0,0
